"name","Start.day","Species","Voltinism","Initial.num.f","Initial.num.m","Initial.stage","Initial.age","RndSeed","MultiYearInput","List.input.floral","Num.repeat.yr","input.floral","stoch.crop.forag","Density.dep","DD.thresh.s","DD.max.cells.s","DD.funct","DD.log.slope","day.emerge.f","var.emerge.f","day.emerge.m","var.emerge.m","latest.emerge","dev.egg","dev.larva","dev.cocoon","t.maturation","m.life","max.nesting.life","p.max.nesting.life","max.f.ratio","max.cells","max.survival.e.f","max.survival.e.m","emerged.survival","a.cell.age","a.sex.age","a.size.age","a.cell.resource","a.sex.resource","a.size.resource","Effects","ad.nectar.cons","ad.pollen.cons","k_CA","Transfer.mat.adult","ad.ET","TC_soil","TC_leaf","Exposure.resting.soil","GUTS","t.guts","kd_SD","bw_SD","mw_SD","kd_IT","mw_IT","Fs_IT","nectar_prop","weight.prov","Transfer.mat.dev","SM","F","SA_i","dr.intercept","dr.slope"
"951_2021_SD_med_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_75p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_75p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_75p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_75p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_50p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_50p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_50p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_50p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_25p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_25p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_25p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_25p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_0p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_0p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_0p_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_0p_spray.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_75p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_75p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_75p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_75p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_50p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_50p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_50p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_50p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_25p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_25p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_25p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_25p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_SD_med_0p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_0p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_IT_med_0p_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_25Oct2023_DIMexp_med_resid_0p_spray.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-IT",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_control",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_27Apr2023_control.csv",FALSE,FALSE,1,1,"linear",1,119,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_control_m7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_27Apr2023_control.csv",FALSE,FALSE,1,1,"linear",1,112,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
"951_2021_control_p7days",103,"O.bicornis","univoltine",90,110,"cocoon",300,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,"Floral_Eurofins2021_27Apr2023_control.csv",FALSE,FALSE,1,1,"linear",1,126,3,118,1,146,8,32,68,9,21,36,0.0835630958294496,0.547882305577739,"1.12055557187928",0.812342510853559,0.812343,0.819091376224072,-0.006,-0.0423653541543928,-0.003,0.94,0.42,0.114,TRUE,208.34,11.6,0.4,TRUE,0.072,0.5,0,FALSE,"GUTS-SD",10,0.39,0.014,13,0.012,2.4,3,0.78,306,TRUE,187,0,0,1.1534,-0.7876
